filename for_count for_with_if_count for_with_switch_count for_with_array_references_count for_with_function_calls_count nested_for_count while_count while_with_if_count while_with_switch_count while_with_array_references_count while_with_function_calls_count stmts_inside_loop total_stmts
fs/nls/mac-gaelic.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp863.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_iso8859-13.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp866.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp936.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp775.c 0 0 0 0 0 0 0 0 0 0 0 0 24
fs/nls/nls_cp865.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp874.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_iso8859-6.c 0 0 0 0 0 0 0 0 0 0 0 0 21
fs/nls/nls_cp861.c 0 0 0 0 0 0 0 0 0 0 0 0 26
fs/nls/nls_cp857.c 0 0 0 0 0 0 0 0 0 0 0 0 22
fs/nls/nls_cp860.c 0 0 0 0 0 0 0 0 0 0 0 0 25
fs/nls/nls_iso8859-15.c 0 0 0 0 0 0 0 0 0 0 0 0 22
fs/nls/mac-greek.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_base.c 3 3 0 0 0 0 4 4 0 0 0 56 150
fs/nls/nls_cp950.c 0 0 0 0 0 0 0 0 0 0 0 0 225
fs/nls/mac-inuit.c 0 0 0 0 0 0 0 0 0 0 0 0 26
fs/nls/nls_koi8-ru.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp1255.c 0 0 0 0 0 0 0 0 0 0 0 0 26
fs/nls/nls_iso8859-5.c 0 0 0 0 0 0 0 0 0 0 0 0 22
fs/nls/mac-centeuro.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp855.c 0 0 0 0 0 0 0 0 0 0 0 0 23
fs/nls/nls_iso8859-14.c 0 0 0 0 0 0 0 0 0 0 0 0 22
fs/nls/nls_cp949.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_iso8859-9.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_iso8859-7.c 0 0 0 0 0 0 0 0 0 0 0 0 23
fs/nls/nls_iso8859-3.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_ascii.c 0 0 0 0 0 0 0 0 0 0 0 0 20
fs/nls/nls_koi8-ru.c 0 0 0 0 0 0 0 0 0 0 0 0 22
fs/nls/nls_iso8859-1.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_iso8859-4.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_koi8-r.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_iso8859-14.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_iso8859-2.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/nls/nls_cp864.c 0 0 0 0 0 0 0 0 0 0 0 0 25
fs/nls/nls_cp1250.c 0 0 0 0 0 0 0 0 0 0 0 0 24
fs/nls/nls_cp775.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
